goal_index,date,competition_code,competition,home_team,away_team,result,minute_raw,minute_base,minute_added,minute_total,what,how,is_penalty,is_official,source_url
49,2008-02-24,PRM La Liga,PRM La Liga,FC Barcelona,Levante,5-1,44,44,0,44,,Left foot,0,1,https://www.messistats.com/en/locationsscored
50,2008-05-04,PRM La Liga,PRM La Liga,FC Barcelona,Valencia,6-0,6,6,0,6,Penalty,Left foot,1,1,https://www.messistats.com/en/locationsscored
51,2008-06-05,FRN International friendly,FRN International friendly,Mexico,Argentina,1-4,18,18,0,18,Field goal,Left foot,0,0,https://www.messistats.com/en/locationsscored
52,2008-09-13,PRM La Liga,PRM La Liga,FC Barcelona,Racing Santander,1-1,71,71,0,71,Penalty,Left foot,1,1,https://www.messistats.com/en/locationsscored
53,2008-09-21,PRM La Liga,PRM La Liga,Sporting Gijón,FC Barcelona,1-6,85,85,0,85,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
54,2008-09-21,PRM La Liga,PRM La Liga,Sporting Gijón,FC Barcelona,1-6,89,89,0,89,Field goal,Head,0,1,https://www.messistats.com/en/locationsscored
55,2008-09-27,PRM La Liga,PRM La Liga,Espanyol,FC Barcelona,1-2,90+7,90,7,97,Penalty,Left foot,1,1,https://www.messistats.com/en/locationsscored
56,2008-10-01,EUR UEFA Champions League,EUR UEFA Champions League,Shakhtar Donetsk,FC Barcelona,1-2,87,87,0,87,Rebound,Right foot,0,1,https://www.messistats.com/en/locationsscored
57,2008-10-01,EUR UEFA Champions League,EUR UEFA Champions League,Shakhtar Donetsk,FC Barcelona,1-2,90+4,90,4,94,,Left foot,0,1,https://www.messistats.com/en/locationsscored
58,2008-10-04,PRM La Liga,PRM La Liga,FC Barcelona,Atlético Madrid,6-1,9,9,0,9,Free kick,Left foot,0,1,https://www.messistats.com/en/locationsscored
59,2008-10-11,WCQ World Cup 2010 Qualification,WCQ World Cup 2010 Qualification,Argentina,Uruguay,2-1,6,6,0,6,,Head,0,1,https://www.messistats.com/en/locationsscored
60,2008-10-22,EUR UEFA Champions League,EUR UEFA Champions League,FC Basel,FC Barcelona,0-5,4,4,0,4,,Left foot,0,1,https://www.messistats.com/en/locationsscored
61,2008-11-01,PRM La Liga,PRM La Liga,Málaga,FC Barcelona,1-4,19,19,0,19,,Left foot,0,1,https://www.messistats.com/en/locationsscored
62,2008-11-04,EUR UEFA Champions League,EUR UEFA Champions League,FC Barcelona,FC Basel,1-1,62,62,0,62,,Left foot,0,1,https://www.messistats.com/en/locationsscored
63,2008-11-12,CUP Copa del Rey,CUP Copa del Rey,FC Barcelona,Benidorm,1-0,87,87,0,87,Rebound,Left foot,0,1,https://www.messistats.com/en/locationsscored
64,2008-11-16,PRM La Liga,PRM La Liga,Recreativo Huelva,FC Barcelona,0-2,52,52,0,52,,Left foot,0,1,https://www.messistats.com/en/locationsscored
65,2008-11-26,EUR UEFA Champions League,EUR UEFA Champions League,Sporting Lisbon,FC Barcelona,2-5,49,49,0,49,,Left foot,0,1,https://www.messistats.com/en/locationsscored
66,2008-11-29,PRM La Liga,PRM La Liga,Sevilla,FC Barcelona,0-3,78,78,0,78,,Left foot,0,1,https://www.messistats.com/en/locationsscored
67,2008-11-29,PRM La Liga,PRM La Liga,Sevilla,FC Barcelona,0-3,90+2,90,2,92,,Left foot,0,1,https://www.messistats.com/en/locationsscored
68,2008-12-13,PRM La Liga,PRM La Liga,FC Barcelona,Real Madrid,2-0,90+1,90,1,91,,Left foot,0,1,https://www.messistats.com/en/locationsscored
69,2009-01-06,CUP Copa del Rey,CUP Copa del Rey,Atlético Madrid,FC Barcelona,1-3,13,13,0,13,,Left foot,0,1,https://www.messistats.com/en/locationsscored
70,2009-01-06,CUP Copa del Rey,CUP Copa del Rey,Atlético Madrid,FC Barcelona,1-3,57,57,0,57,Penalty,Left foot,1,1,https://www.messistats.com/en/locationsscored
71,2009-01-06,CUP Copa del Rey,CUP Copa del Rey,Atlético Madrid,FC Barcelona,1-3,80,80,0,80,,Right foot,0,1,https://www.messistats.com/en/locationsscored
72,2009-01-11,PRM La Liga,PRM La Liga,Osasuna,FC Barcelona,2-3,85,85,0,85,,Left foot,0,1,https://www.messistats.com/en/locationsscored
73,2009-01-17,PRM La Liga,PRM La Liga,FC Barcelona,Deportivo La Coruña,5-0,21,21,0,21,,Left foot,0,1,https://www.messistats.com/en/locationsscored
74,2009-01-24,PRM La Liga,PRM La Liga,FC Barcelona,Numancia,4-1,49,49,0,49,,Left foot,0,1,https://www.messistats.com/en/locationsscored
75,2009-01-24,PRM La Liga,PRM La Liga,FC Barcelona,Numancia,4-1,76,76,0,76,Rebound,Right foot,0,1,https://www.messistats.com/en/locationsscored
76,2009-02-01,PRM La Liga,PRM La Liga,Racing Santander,FC Barcelona,1-2,65,65,0,65,Rebound,Right foot,0,1,https://www.messistats.com/en/locationsscored
77,2009-02-01,PRM La Liga,PRM La Liga,Racing Santander,FC Barcelona,1-2,81,81,0,81,,Right foot,0,1,https://www.messistats.com/en/locationsscored
78,2009-02-11,FRN International friendly,FRN International friendly,France,Argentina,0-2,83,83,0,83,Solo run,Left foot,0,0,https://www.messistats.com/en/locationsscored
79,2009-03-01,PRM La Liga,PRM La Liga,Atlético Madrid,FC Barcelona,4-3,30,30,0,30,,Left foot,0,1,https://www.messistats.com/en/locationsscored
80,2009-03-04,CUP Copa del Rey,CUP Copa del Rey,Real Mallorca,FC Barcelona,1-1,81,81,0,81,,Left foot,0,1,https://www.messistats.com/en/locationsscored
81,2009-03-07,PRM La Liga,PRM La Liga,FC Barcelona,Athletic de Bilbao,2-0,32,32,0,32,Penalty,Left foot,1,1,https://www.messistats.com/en/locationsscored
82,2009-03-11,EUR UEFA Champions League,EUR UEFA Champions League,FC Barcelona,Olympique Lyonnais,5-2,40,40,0,40,,Left foot,0,1,https://www.messistats.com/en/locationsscored
83,2009-03-22,PRM La Liga,PRM La Liga,FC Barcelona,Málaga,6-0,25,25,0,25,,Right foot,0,1,https://www.messistats.com/en/locationsscored
84,2009-03-28,WCQ World Cup 2010 Qualification,WCQ World Cup 2010 Qualification,Argentina,Venezuela,4-0,26,26,0,26,,Left foot,0,1,https://www.messistats.com/en/locationsscored
85,2009-04-08,EUR UEFA Champions League,EUR UEFA Champions League,FC Barcelona,Bayern München,4-0,9,9,0,9,,Left foot,0,1,https://www.messistats.com/en/locationsscored
86,2009-04-08,EUR UEFA Champions League,EUR UEFA Champions League,FC Barcelona,Bayern München,4-0,38,38,0,38,,Right foot,0,1,https://www.messistats.com/en/locationsscored
87,2009-04-18,PRM La Liga,PRM La Liga,Getafe,FC Barcelona,0-1,19,19,0,19,,Left foot,0,1,https://www.messistats.com/en/locationsscored
